typeConcours;niveau;echelle;millesime;laureat;ordre;prix;sexeCode;sexe;prenom;nom;prenomNom;idRef;lienIdRef;videoMaTheseEn180Secondes;video;titreThese;lienVersThesesFr;CodeLaboratoire;laboratoire;codeEtablissement;etablissement;latitudeEtablissement;longitudeEtablissement;ficheScanR;siteInternetMT180;blogMT180;twitterMT180;facebookMT180;youtubeMT180
MT180;Finale;National;2015;Lauréat;3;Troisième prix du jury;M;Masculin;Grégory;PACINI;Grégory PACINI;;;https://www.youtube.com/watch?v=FzDDfHxMg4k;https://www.youtube.com/embed/FzDDfHxMg4k;Cofacteurs cellulaires du facteur de restriction virale BST2/Tetherin : Rôle physiologique dans la fonction de BST2 et sa modulation par les protéines virales Vpu et Nef;http://www.theses.fr/s115454;200217519N;Institut Cochin;0755598C;Université Sorbonne Paris Cité;48.836066;2.37187;https://scanr.enseignementsup-recherche.gouv.fr/structure/200217519N;http://mt180.fr/;http://blog.mt180.fr/;https://twitter.com/MT180FR;https://www.facebook.com/MT180France/;https://www.youtube.com/channel/UCvWoYjTzOe-dC0xFNQI-TGg
MT180;Finale;National;2016;Lauréat;2;"Deuxième prix du jury;Prix du public";M;Masculin;Bertrand;COCHARD;Bertrand COCHARD;;;https://www.youtube.com/watch?v=96loSvYH-sE;https://www.youtube.com/embed/96loSvYH-sE;Figures de l'alienation dans l'oeuvre de Guy Debord;http://www.theses.fr/s159199;200815548V;Centre de Recherche en Histoire des Idées;0062126D;Université Côte d'Azur;43.716324;7.269781;https://scanr.enseignementsup-recherche.gouv.fr/structure/200815548V;http://mt180.fr/;http://blog.mt180.fr/;https://twitter.com/MT180FR;https://www.facebook.com/MT180France/;https://www.youtube.com/channel/UCvWoYjTzOe-dC0xFNQI-TGg
MT180;Finale;National;2016;;;;F;Féminin;Perrine;BERMENT;Perrine BERMENT;195088557;http://www.idref.fr/195088557;https://www.youtube.com/watch?v=Su2cPSUwL1U;https://www.youtube.com/embed/Su2cPSUwL1U;Modélisation mathématiques de tumeurs cérébrales de bas grade et assimilation de données cliniques d'imagerie;http://www.theses.fr/s134777;200711916B;Institut de Mathématiques de Bordeaux;0333178A;Communauté d'universités et établissements d'Aquitaine;44.825325;-0.577763;https://scanr.enseignementsup-recherche.gouv.fr/structure/200711916B;http://mt180.fr/;http://blog.mt180.fr/;https://twitter.com/MT180FR;https://www.facebook.com/MT180France/;https://www.youtube.com/channel/UCvWoYjTzOe-dC0xFNQI-TGg
MT180;Finale;National;2015;;;;F;Féminin;Charlotte;ROY;Charlotte ROY;20083388X;http://www.idref.fr/20083388X;https://www.youtube.com/watch?v=X4ioSjEdot4;https://www.youtube.com/embed/X4ioSjEdot4;Effet de la stimulation rythmique audio-tactile sur les mouvements de coordination;http://www.theses.fr/s142603;199914310N;Centre Européen de Recherche sur le Mouvement Humain;0342255S;Languedoc-Roussillon Universités;43.615855;3.871992;https://scanr.enseignementsup-recherche.gouv.fr/structure/199914310N;http://mt180.fr/;http://blog.mt180.fr/;https://twitter.com/MT180FR;https://www.facebook.com/MT180France/;https://www.youtube.com/channel/UCvWoYjTzOe-dC0xFNQI-TGg
MT180;Finale;National;2015;;;;F;Féminin;Justine;CRUZ;Justine CRUZ;;;https://www.youtube.com/watch?v=c4-vAk2JZME;https://www.youtube.com/embed/c4-vAk2JZME;Etude de la contamination par les pesticides des milieux eau, air et sols : développement de nouveaux outils et application à l’estuaire de la Gironde;http://www.theses.fr/2015BORD0221;199512085M;Environnements et Paléoenvironnements Océaniques et Continentaux;0333178A;Communauté d'universités et établissements d'Aquitaine;44.825325;-0.577763;https://scanr.enseignementsup-recherche.gouv.fr/structure/199512085M;http://mt180.fr/;http://blog.mt180.fr/;https://twitter.com/MT180FR;https://www.facebook.com/MT180France/;https://www.youtube.com/channel/UCvWoYjTzOe-dC0xFNQI-TGg
MT180;Finale;National;2015;;;;M;Masculin;Geoffrey;DUMONTEIL;Geoffrey DUMONTEIL;194701158;http://www.idref.fr/194701158;https://www.youtube.com/watch?v=T0Fi8KOEo84;https://www.youtube.com/embed/T0Fi8KOEo84;Synthèse et pharmacomodulation de composés naturels;;201220206R;Institut de Chimie Organique et Analytique;0861420B;Université confédérale Léonard de Vinci;46.586013;0.345772;https://scanr.enseignementsup-recherche.gouv.fr/structure/201220206R;http://mt180.fr/;http://blog.mt180.fr/;https://twitter.com/MT180FR;https://www.facebook.com/MT180France/;https://www.youtube.com/channel/UCvWoYjTzOe-dC0xFNQI-TGg
MT180;Finale;National;2015;;;;F;Féminin;Laurie-Anne;SAPEY-TRIOMPHE;Laurie-Anne SAPEY-TRIOMPHE;;;https://www.youtube.com/watch?v=5ih33Y1GSzk;https://www.youtube.com/embed/5ih33Y1GSzk;Inférence et apprentissage perceptifs dans l'autisme : une approche neurophysiologique et comportementale;http://www.theses.fr/s101896;201119399T;Centre de Recherche en Neurosciences de Lyon;0694094A;Université de Lyon;45.748414;4.836668;https://scanr.enseignementsup-recherche.gouv.fr/structure/201119399T;http://mt180.fr/;http://blog.mt180.fr/;https://twitter.com/MT180FR;https://www.facebook.com/MT180France/;https://www.youtube.com/channel/UCvWoYjTzOe-dC0xFNQI-TGg
MT180;Finale;National;2015;;;;M;Masculin;Than;NHAT PHAM;Than NHAT PHAM;;;https://www.youtube.com/watch?v=8ZCS6p9mhGk;https://www.youtube.com/embed/8ZCS6p9mhGk;Caractérisation et modélisation du comportement thermodynamique du combustible RNR-Na sous irradiation;http://www.theses.fr/2014AIXM4044;200815504X;Fonctions et Dysfonctions Épithéliales;0251985X;Université Bourgogne - Franche-Comté;47.248103;5.991326;https://scanr.enseignementsup-recherche.gouv.fr/structure/200815504X;http://mt180.fr/;http://blog.mt180.fr/;https://twitter.com/MT180FR;https://www.facebook.com/MT180France/;https://www.youtube.com/channel/UCvWoYjTzOe-dC0xFNQI-TGg
MT180;Finale;National;2016;;;;M;Masculin;Thomas;PERROT;Thomas PERROT;;;https://www.youtube.com/watch?v=oMGMg051A4Y;https://www.youtube.com/embed/oMGMg051A4Y;Diversité fonctionnelle des systèmes de détoxication des champignons lignolytiques;;200117307M;Interactions Arbres/Micro-Organismes;0542493S;Université de Lorraine;48.6962;6.17634;https://scanr.enseignementsup-recherche.gouv.fr/structure/200117307M;http://mt180.fr/;http://blog.mt180.fr/;https://twitter.com/MT180FR;https://www.facebook.com/MT180France/;https://www.youtube.com/channel/UCvWoYjTzOe-dC0xFNQI-TGg
MT180;Finale;National;2017;;;;F;Féminin;Camille;JACQUELINE;Camille JACQUELINE;;;https://www.youtube.com/watch?v=HCRb308MXb8;https://www.youtube.com/embed/HCRb308MXb8;Communauté d'agents pathogènes et incidence des cancers : Le rôle de l'écologie du système immunitaire.;http://www.theses.fr/s152606;201119437J;Maladies Infectieuses et Vecteurs : Écologie, Génétique, Évolution et Contrôle;0342255S;Languedoc-Roussillon Universités;43.615855;3.871992;https://scanr.enseignementsup-recherche.gouv.fr/structure/201119437J;http://mt180.fr/;http://blog.mt180.fr/;https://twitter.com/MT180FR;https://www.facebook.com/MT180France/;https://www.youtube.com/channel/UCvWoYjTzOe-dC0xFNQI-TGg
MT180;Finale;National;2016;;;;F;Féminin;Thaïs;HAUTBERGUE;Thaïs HAUTBERGUE;;;https://www.youtube.com/watch?v=JxQY-0N1Sgk;https://www.youtube.com/embed/JxQY-0N1Sgk;Caractérisation chimique et toxicologique du metabolome secondaire de Penicillium et Fusarium par marquage isotopique et spectrométrie de masse.;http://www.theses.fr/s159716;201119649P;Toxicologie Alimentaire;0312758E;Université fédérale de Toulouse Midi-Pyrénées;43.594874;1.451321;https://scanr.enseignementsup-recherche.gouv.fr/structure/201119649P;http://mt180.fr/;http://blog.mt180.fr/;https://twitter.com/MT180FR;https://www.facebook.com/MT180France/;https://www.youtube.com/channel/UCvWoYjTzOe-dC0xFNQI-TGg
MT180;Finale;National;2016;;;;M;Masculin;Aurélien;QUILLET;Aurélien QUILLET;;;https://www.youtube.com/watch?v=0Pgg-UzTfxM;https://www.youtube.com/embed/0Pgg-UzTfxM;Rôle des micro ARNo dans le contrôle de la sécrétion par les phéochromocytomes.;http://www.theses.fr/s149257;201019271H;Différenciation et Communication Neuronale et Neuroendocrine;0142382N;Normandie Université;49.188964;-0.363963;https://scanr.enseignementsup-recherche.gouv.fr/structure/201019271H;http://mt180.fr/;http://blog.mt180.fr/;https://twitter.com/MT180FR;https://www.facebook.com/MT180France/;https://www.youtube.com/channel/UCvWoYjTzOe-dC0xFNQI-TGg
MT180;Finale;National;2016;;;;M;Masculin;Florian;GUIBBAL;Florian GUIBBAL;;;https://www.youtube.com/watch?v=JgVt4rTGyWk;https://www.youtube.com/embed/JgVt4rTGyWk;Nouveaux outils pour la détection précoce des plaques d'athérome vulnérables en imagerie TEP.;http://www.theses.fr/s159515;201019068M;Diabète et Thérapie Réunion Océan Indien;9740478B;Université de La Réunion;-20.9019;55.4843;https://scanr.enseignementsup-recherche.gouv.fr/structure/201019068M;http://mt180.fr/;http://blog.mt180.fr/;https://twitter.com/MT180FR;https://www.facebook.com/MT180France/;https://www.youtube.com/channel/UCvWoYjTzOe-dC0xFNQI-TGg
MT180;Finale;National;2016;;;;F;Féminin;Philippine;CHAMBAULT;Philippine CHAMBAULT;;;https://www.youtube.com/watch?v=-HAEt1Rh0RY;https://www.youtube.com/embed/-HAEt1Rh0RY;Influence des processus méso-échelle sur la distribution et les mouvements des tortues marines;http://www.theses.fr/s102443;200612557C;Institut Pluridisciplinaire Hubert Curien;0673021V;Université de Strasbourg;48579;7.7663;https://scanr.enseignementsup-recherche.gouv.fr/structure/200612557C;http://mt180.fr/;http://blog.mt180.fr/;https://twitter.com/MT180FR;https://www.facebook.com/MT180France/;https://www.youtube.com/channel/UCvWoYjTzOe-dC0xFNQI-TGg
MT180;Finale;National;2017;;;;M;Masculin;Alexandre;BOURLES;Alexandre BOURLES;;;https://www.youtube.com/watch?v=P6w5r3ny3_I;https://www.youtube.com/embed/P6w5r3ny3_I;Les bactéries à activités PGPR et champignons mycorhiziens à arbuscule de maquis minier de NC. Interaction et rôle dans l'adaptation des plantes à la contraintes édaptique et développement d'inoculation utilisables pour la restauration des sites dégradés;http://www.theses.fr/s161957;130003221;Université de la Nouvelle-Calédonie;9830445S;Université de la Nouvelle-Calédonie;-22.2638507;166.4043178;;http://mt180.fr/;http://blog.mt180.fr/;https://twitter.com/MT180FR;https://www.facebook.com/MT180France/;https://www.youtube.com/channel/UCvWoYjTzOe-dC0xFNQI-TGg
MT180;Finale;National;2016;;;;F;Féminin;Sol;SANCHEZ-DEHESA-GALAN;Sol SANCHEZ-DEHESA-GALAN;;;https://www.youtube.com/watch?v=Ee9yPt1sCvc;https://www.youtube.com/embed/Ee9yPt1sCvc;Réflexion sur les industries de chronologie acheuleenne : le cas de GARBA I (Melka Kunture);http://www.theses.fr/s154063;199912453V;Préhistoire et Technologie;0755698L;Université Paris Lumières;48.859342;2.357173;https://scanr.enseignementsup-recherche.gouv.fr/structure/199912453V;http://mt180.fr/;http://blog.mt180.fr/;https://twitter.com/MT180FR;https://www.facebook.com/MT180France/;https://www.youtube.com/channel/UCvWoYjTzOe-dC0xFNQI-TGg
MT180;Finale;National;2016;;;;M;Masculin;Alexandre;FORTIN;Alexandre FORTIN;;;https://www.youtube.com/watch?v=XZzHdnt-1iU;https://www.youtube.com/embed/XZzHdnt-1iU;ANR VIVABRAIN - Simulation d'expériences d'angiographie cérébrale par résonance magnétique.;http://www.theses.fr/s98651;201019023N;Laboratoire de Mathématiques de Reims;0512141A;Université de Champagne;49.238294;4.063106;https://scanr.enseignementsup-recherche.gouv.fr/structure/201019023N;http://mt180.fr/;http://blog.mt180.fr/;https://twitter.com/MT180FR;https://www.facebook.com/MT180France/;https://www.youtube.com/channel/UCvWoYjTzOe-dC0xFNQI-TGg
MT180;Finale;National;2017;;;;M;Masculin;Valentin;PESTEL;Valentin PESTEL;;;https://www.youtube.com/watch?v=DGrBgVRZ3yU;https://www.youtube.com/embed/DGrBgVRZ3yU;Recherche d'oscillation de neutrino à très courte distance, Expérience SoLiD';http://www.theses.fr/s164329;199612324T;Laboratoire de Physique Corpusculaire de Caen;0142382N;Normandie Université;49.188964;-0.363963;https://scanr.enseignementsup-recherche.gouv.fr/structure/199612324T;http://mt180.fr/;http://blog.mt180.fr/;https://twitter.com/MT180FR;https://www.facebook.com/MT180France/;https://www.youtube.com/channel/UCvWoYjTzOe-dC0xFNQI-TGg
MT180;Finale;National;2016;;;;M;Masculin;Younes;FAYDI;Younes FAYDI;;;https://www.youtube.com/watch?v=PIVYYB7sEP0;https://www.youtube.com/embed/PIVYYB7sEP0;Classement mécanique des sciages feuillus;http://www.theses.fr/s134695;200214907Z;Laboratoire Bourguignon des Matériaux et Procedes;0755581J;Hautes Études-Sorbonne-Arts et Métiers;48.846765;2.342056;https://scanr.enseignementsup-recherche.gouv.fr/structure/200214907Z;http://mt180.fr/;http://blog.mt180.fr/;https://twitter.com/MT180FR;https://www.facebook.com/MT180France/;https://www.youtube.com/channel/UCvWoYjTzOe-dC0xFNQI-TGg
MT180;Finale;National;2016;;;;M;Masculin;Thibault;HARLE;Thibault HARLE;;;https://www.youtube.com/watch?v=Bnjghe47gW0;https://www.youtube.com/embed/Bnjghe47gW0;Création et caractérisation d'un matériau de construction composite incorporant un matériau à changement de phase pour une meilleure régulation de la température intérieure.;http://www.theses.fr/s95552;201019146X;Géosciences et Environnement Cergy;0952199Z;Université Paris-Seine;49.034147;2.077993;https://scanr.enseignementsup-recherche.gouv.fr/structure/201019146X;http://mt180.fr/;http://blog.mt180.fr/;https://twitter.com/MT180FR;https://www.facebook.com/MT180France/;https://www.youtube.com/channel/UCvWoYjTzOe-dC0xFNQI-TGg
MT180;Finale;National;2016;;;;F;Féminin;Alice;DE ROCHECHOUART;Alice DE ROCHECHOUART;;;https://www.youtube.com/watch?v=cDlK38Cz48U;https://www.youtube.com/embed/cDlK38Cz48U;L'eschatologie du présent : un motif dans la philosophie contemporaine française;http://www.theses.fr/s124972;199812910W;Groupe Sociétés, Religions, Laicités;0755700N;Université de recherche Paris sciences et lettres - PSL Research University;48.84214;2.343007;https://scanr.enseignementsup-recherche.gouv.fr/structure/199812910W;http://mt180.fr/;http://blog.mt180.fr/;https://twitter.com/MT180FR;https://www.facebook.com/MT180France/;https://www.youtube.com/channel/UCvWoYjTzOe-dC0xFNQI-TGg
MT180;Finale;National;2017;;;;M;Masculin;Marius;COLIN;Marius COLIN;;;https://www.youtube.com/watch?v=F7GNtwKxbUk;https://www.youtube.com/embed/F7GNtwKxbUk;Evaluation de l'activité antimicrobienne de surfaces en alliages de cuivre dans des établissements de santé;http://www.theses.fr/s143486;201220348V;Biomatériaux et Inflammation en Site Osseux;0512141A;Université de Champagne;49.238294;4.063106;https://scanr.enseignementsup-recherche.gouv.fr/structure/201220348V;http://mt180.fr/;http://blog.mt180.fr/;https://twitter.com/MT180FR;https://www.facebook.com/MT180France/;https://www.youtube.com/channel/UCvWoYjTzOe-dC0xFNQI-TGg
MT180;Finale;National;2017;;;;F;Féminin;Marie-Claudine;HAUMONT-SAUTEREAU;Marie-Claudine HAUMONT-SAUTEREAU;;;https://www.youtube.com/watch?v=eqQupMlJ-rU;https://www.youtube.com/embed/eqQupMlJ-rU;Plaisir et souffrance au travail et risques de burn out. Étude clinique et analyse différentielle entre hommes et femmes menées auprès de dirigeants de PME;;200919245J;Laboratoire de Psychologie de l'Interaction et des Relations Intersubjectives;0542493S;Université de Lorraine;48.6962;6.17634;https://scanr.enseignementsup-recherche.gouv.fr/structure/200919245J;http://mt180.fr/;http://blog.mt180.fr/;https://twitter.com/MT180FR;https://www.facebook.com/MT180France/;https://www.youtube.com/channel/UCvWoYjTzOe-dC0xFNQI-TGg
MT180;Finale;National;2015;;;;F;Féminin;Leslie;LECOSSOIS;Leslie LECOSSOIS;;;https://www.youtube.com/watch?v=aZkLcGdTmDQ;https://www.youtube.com/embed/aZkLcGdTmDQ;Faut-il tuer l'Homme pour préserver l'humanité ?;http://www.theses.fr/s102468;200815535F;Centre Interdisciplinaire de Recherches sur les Langues et la Pensée;0512141A;Université de Champagne;49.238294;4.063106;https://scanr.enseignementsup-recherche.gouv.fr/structure/200815535F;http://mt180.fr/;http://blog.mt180.fr/;https://twitter.com/MT180FR;https://www.facebook.com/MT180France/;https://www.youtube.com/channel/UCvWoYjTzOe-dC0xFNQI-TGg
MT180;Finale;National;2015;;;;F;Féminin;Lanjiao;WANG;Lanjiao WANG;;;https://www.youtube.com/watch?v=2-XbLXK1w0Y;https://www.youtube.com/embed/2-XbLXK1w0Y;Insecticide resistance in mosquito vectors of arboviruses / importance in vector competence and impact on viral evolution;http://www.theses.fr/s135451;775684897;Institut Pasteur;9730429D;Université de Guyane;4.93278;-52.301511;https://scanr.enseignementsup-recherche.gouv.fr/structure/775684897;http://mt180.fr/;http://blog.mt180.fr/;https://twitter.com/MT180FR;https://www.facebook.com/MT180France/;https://www.youtube.com/channel/UCvWoYjTzOe-dC0xFNQI-TGg
MT180;Finale;National;2016;;;;F;Féminin;Charlotte;RASSER;Charlotte RASSER;;;https://www.youtube.com/watch?v=u5i8CrSRu1A;https://www.youtube.com/embed/u5i8CrSRu1A;Biomimétisme et bioingénierie: Evaluation in vitro et in vivo de la biocompatibilité apportée par l'immbilisation d'un peptique dérivé du CD31 à la surface de biomatériaux endovasculaires;;201420730B;Laboratoire de Recherche Vasculaire Translationnelle;0755598C;Université Sorbonne Paris Cité;48.836066;2.37187;https://scanr.enseignementsup-recherche.gouv.fr/structure/201420730B;http://mt180.fr/;http://blog.mt180.fr/;https://twitter.com/MT180FR;https://www.facebook.com/MT180France/;https://www.youtube.com/channel/UCvWoYjTzOe-dC0xFNQI-TGg
MT180;Finale;National;2016;;;;F;Féminin;Mathilde;PETTON;Mathilde PETTON;;;https://www.youtube.com/watch?v=U6c2_qVUcwQ;https://www.youtube.com/embed/U6c2_qVUcwQ;Bases neurales des fluctuations spontanées de l'attention;http://www.theses.fr/s102153;201119399T;Centre de Recherche en Neurosciences de Lyon;0694094A;Université de Lyon;45.748414;4.836668;https://scanr.enseignementsup-recherche.gouv.fr/structure/201119399T;http://mt180.fr/;http://blog.mt180.fr/;https://twitter.com/MT180FR;https://www.facebook.com/MT180France/;https://www.youtube.com/channel/UCvWoYjTzOe-dC0xFNQI-TGg
MT180;Finale;National;2016;;;;F;Féminin;Lucie;POULET;Lucie POULET;;;https://www.youtube.com/watch?v=kxplRMoESXA;https://www.youtube.com/embed/kxplRMoESXA;Définition de modèles physiques pour prédire la croissance de plantes supérieures en environnement de gravité réduite pour une application en système support-vie;http://www.theses.fr/s131625;199412376H;Institut Pascal;;Université Clermont Auvergne et associés;45.7703;3.08803;https://scanr.enseignementsup-recherche.gouv.fr/structure/199412376H;http://mt180.fr/;http://blog.mt180.fr/;https://twitter.com/MT180FR;https://www.facebook.com/MT180France/;https://www.youtube.com/channel/UCvWoYjTzOe-dC0xFNQI-TGg
MT180;Finale;National;2017;;;;F;Féminin;Carole;BASTIANELLI;Carole BASTIANELLI;;;https://www.youtube.com/watch?v=52jVVJ2eu6c;https://www.youtube.com/embed/52jVVJ2eu6c;Changements globaux et dynamiques forestières des pessières du Québec au cours des 8000 dernières années;http://www.theses.fr/s145320;;;0755700N;Université de recherche Paris sciences et lettres - PSL Research University;48.84214;2.343007;;http://mt180.fr/;http://blog.mt180.fr/;https://twitter.com/MT180FR;https://www.facebook.com/MT180France/;https://www.youtube.com/channel/UCvWoYjTzOe-dC0xFNQI-TGg
MT180;Finale;National;2015;Lauréat;1;Premier prix du jury;M;Masculin;Alexandre;ARTAUD;Alexandre ARTAUD;;;https://www.youtube.com/watch?v=i4GjRaERjkA;https://www.youtube.com/embed/i4GjRaERjkA;Spectroscopie tunnel à très basse température de graphène sur rhénium;http://www.theses.fr/s95621;200717446M;Service de Physique Statistique, de Magnétisme et de Supraconductivité;0383412C;Université Grenoble Alpes;45.192363;5.756681;https://scanr.enseignementsup-recherche.gouv.fr/structure/200717446M;http://mt180.fr/;http://blog.mt180.fr/;https://twitter.com/MT180FR;https://www.facebook.com/MT180France/;https://www.youtube.com/channel/UCvWoYjTzOe-dC0xFNQI-TGg
MT180;Finale;National;2015;;;;F;Féminin;Aline-Laure;ESPINASSOUZE;Aline-Laure ESPINASSOUZE;;;https://www.youtube.com/watch?v=RPXEhdg8g7o;https://www.youtube.com/embed/RPXEhdg8g7o;La question de la rentabilité des politiques de responsabilité sociale d'entreprise : étude des liens entre performance financière et extra-financière.;http://www.theses.fr/s86714;200612831A;Théorie Économique, Modélisation et Applications;0952199Z;Université Paris-Seine;49.034147;2.077993;https://scanr.enseignementsup-recherche.gouv.fr/structure/200612831A;http://mt180.fr/;http://blog.mt180.fr/;https://twitter.com/MT180FR;https://www.facebook.com/MT180France/;https://www.youtube.com/channel/UCvWoYjTzOe-dC0xFNQI-TGg
MT180;Finale;National;2015;;;;F;Féminin;Caroline;DUC;Caroline DUC;;;https://www.youtube.com/watch?v=zMS6mwoPorA;https://www.youtube.com/embed/zMS6mwoPorA;la Surface polymère électro-active texturée anti-biofouling;;199812849E;Institut d'Électronique, de Microélectronique et de Nanotechnologie;0596870X;Université Lille Nord de France;50.639261;3.136031;https://scanr.enseignementsup-recherche.gouv.fr/structure/199812849E;http://mt180.fr/;http://blog.mt180.fr/;https://twitter.com/MT180FR;https://www.facebook.com/MT180France/;https://www.youtube.com/channel/UCvWoYjTzOe-dC0xFNQI-TGg
MT180;Finale;National;2015;;;;F;Féminin;Assia;ASRIR;Assia ASRIR;192269259;http://www.idref.fr/192269259;https://www.youtube.com/watch?v=eXgtKS4GngE;https://www.youtube.com/embed/eXgtKS4GngE;Caractérisation phénotypique et fonctionnelle des différentes populations de Lymphocytes T CD4 Folliculaires Mémoires;http://www.theses.fr/2015TOU30084;201119370L;Centre de Physiopathologie de Toulouse Purpan;0312758E;Université fédérale de Toulouse Midi-Pyrénées;43.594874;1.451321;https://scanr.enseignementsup-recherche.gouv.fr/structure/201119370L;http://mt180.fr/;http://blog.mt180.fr/;https://twitter.com/MT180FR;https://www.facebook.com/MT180France/;https://www.youtube.com/channel/UCvWoYjTzOe-dC0xFNQI-TGg
MT180;Finale;National;2015;;;;F;Féminin;Diane;BODEZ;Diane BODEZ;139822976;http://www.idref.fr/139822976;https://www.youtube.com/watch?v=9ZJ3cZzdlOk;https://www.youtube.com/embed/9ZJ3cZzdlOk;Caractérisation moléculaire et cellulaire des évènements précoces du rejet aigu de greffe cardiaque : identification de biomarqueurs du rejet;http://www.theses.fr/s121817;200919261B;Institut Mondor de Recherche Biomédicale;0772710C;Université Paris-Est;48.840572;2.586957;https://scanr.enseignementsup-recherche.gouv.fr/structure/200919261B;http://mt180.fr/;http://blog.mt180.fr/;https://twitter.com/MT180FR;https://www.facebook.com/MT180France/;https://www.youtube.com/channel/UCvWoYjTzOe-dC0xFNQI-TGg
MT180;Finale;National;2015;;;;F;Féminin;Laura;CORMAN;Laura CORMAN;197925952;http://www.idref.fr/197925952;https://www.youtube.com/watch?v=TVvujW5K2bw;https://www.youtube.com/embed/TVvujW5K2bw;Gaz d'atomes froids et matière quantique topologique;http://www.theses.fr/s92559;199812880N;Laboratoire Kastler Brossel;0755700N;Université de recherche Paris sciences et lettres - PSL Research University;48.84214;2.343007;https://scanr.enseignementsup-recherche.gouv.fr/structure/199812880N;http://mt180.fr/;http://blog.mt180.fr/;https://twitter.com/MT180FR;https://www.facebook.com/MT180France/;https://www.youtube.com/channel/UCvWoYjTzOe-dC0xFNQI-TGg
