typeConcours;niveau;echelle;millesime;laureat;ordre;prix;sexeCode;sexe;prenom;nom;prenomNom;idRef;lienIdRef;videoMaTheseEn180Secondes;video;titreThese;lienVersThesesFr;CodeLaboratoire;laboratoire;codeEtablissement;etablissement;latitudeEtablissement;longitudeEtablissement;ficheScanR;siteInternetMT180;blogMT180;twitterMT180;facebookMT180;youtubeMT180
MT180;Finale;National;2016;;;;F;Féminin;Julia;SOEWARTO;Julia SOEWARTO;;;https://www.youtube.com/watch?v=49m_Dp3jBZI;https://www.youtube.com/embed/49m_Dp3jBZI;Pestes végétales et profils de vulnérabilités : le cas de la rouille (Puccinia Psidii) des Myrtacées en Nouvelle-Calédonie;http://www.theses.fr/s117302;"201119637B;130003221";"Amélioration Génétique et Adaptation des Plantes Méditerranéennes et Tropicales;Université de la Nouvelle-Calédonie";9830445S;Université de la Nouvelle-Calédonie;-22.2638507;166.4043178;"https://scanr.enseignementsup-recherche.gouv.fr/structure/201119637B;https://scanr.enseignementsup-recherche.gouv.fr/structure/130003221";http://mt180.fr/;http://blog.mt180.fr/;https://twitter.com/MT180FR;https://www.facebook.com/MT180France/;https://www.youtube.com/channel/UCvWoYjTzOe-dC0xFNQI-TGg
MT180;Finale;National;2015;;;;F;Féminin;Nora;CESBRON;Nora CESBRON;;;https://www.youtube.com/watch?v=CxPw4r3s0RQ;https://www.youtube.com/embed/CxPw4r3s0RQ;Les SARM's (Selective Androgen Receptor Modulators), une nouvelle famille d'agents anabolisants : études des effets zootechniques et développement de stratégies analytiques visant la mise en évidence de leur utilisation chez le jeune bovin;;201019716S;Laboratoire d'Études des Résidus et Contaminants dans les Aliments;0352756F;Université Bretagne Loire;48.107017;-1.675798;https://scanr.enseignementsup-recherche.gouv.fr/structure/201019716S;http://mt180.fr/;http://blog.mt180.fr/;https://twitter.com/MT180FR;https://www.facebook.com/MT180France/;https://www.youtube.com/channel/UCvWoYjTzOe-dC0xFNQI-TGg
MT180;Finale;National;2015;;;;F;Féminin;Fleur;KALUVANGIMOKO;Fleur KALUVANGIMOKO;;;https://www.youtube.com/watch?v=nWjVu5rRyus;https://www.youtube.com/embed/nWjVu5rRyus;Les alternatives à l'Etat-Nation en Afrique et en Europe carrefour de deux dynamiques à contre-courant;http://www.theses.fr/s134380;201320868F;Institut de Recherches sur l'Évolution de la Nation et de l'État;0542493S;Université de Lorraine;48.6962;6.17634;https://scanr.enseignementsup-recherche.gouv.fr/structure/201320868F;http://mt180.fr/;http://blog.mt180.fr/;https://twitter.com/MT180FR;https://www.facebook.com/MT180France/;https://www.youtube.com/channel/UCvWoYjTzOe-dC0xFNQI-TGg
MT180;Finale;National;2015;;;;F;Féminin;Amina;TOUIDJINE;Amina TOUIDJINE;;;https://www.youtube.com/watch?v=NeWV6n7PFHU;https://www.youtube.com/embed/NeWV6n7PFHU;Optimisation de l'électrode négative à base de silicium pour la batterie Lithium-Ion;http://www.theses.fr/s115639;201220281X;Laboratoire de Réactivité et Chimie des Solides;;Picardie Universités;49.8743;2.26417;https://scanr.enseignementsup-recherche.gouv.fr/structure/201220281X;http://mt180.fr/;http://blog.mt180.fr/;https://twitter.com/MT180FR;https://www.facebook.com/MT180France/;https://www.youtube.com/channel/UCvWoYjTzOe-dC0xFNQI-TGg
MT180;Finale;National;2016;Lauréat;3;Troisième prix du jury;M;Masculin;Nicolas;URRUTY;Nicolas URRUTY;199215022;http://www.idref.fr/199215022;https://www.youtube.com/watch?v=_awTwsLLeig;https://www.youtube.com/embed/_awTwsLLeig;Vers une robustesse des systèmes de production agricole par la complexité ?;http://www.theses.fr/s107809;"180070039;198608564";"Institut national de la recherche agronomique;Université de Poitiers";0861420B;Université confédérale Léonard de Vinci;46.586013;0.345772;"https://scanr.enseignementsup-recherche.gouv.fr/structure/180070039;https://scanr.enseignementsup-recherche.gouv.fr/structure/198608564";http://mt180.fr/;http://blog.mt180.fr/;https://twitter.com/MT180FR;https://www.facebook.com/MT180France/;https://www.youtube.com/channel/UCvWoYjTzOe-dC0xFNQI-TGg
MT180;Finale;National;2017;Lauréat;2;Deuxième prix du jury;F;Féminin;Davina;DESPLAN;Davina DESPLAN;;;https://www.youtube.com/watch?v=Grmwv4ye2i4;https://www.youtube.com/embed/Grmwv4ye2i4;Caractérisation mécaniques et électriques de produits cosmétiques et de leur stabilité lien avec des modifications chimiques ou des contaminations biologiques;http://www.theses.fr/s140118;200212702C;Laboratoire des Systèmes et Applications des Technologies de l'Information et de l'Énergie;0952199Z;Université Paris-Seine;49.034147;2.077993;https://scanr.enseignementsup-recherche.gouv.fr/structure/200212702C;http://mt180.fr/;http://blog.mt180.fr/;https://twitter.com/MT180FR;https://www.facebook.com/MT180France/;https://www.youtube.com/channel/UCvWoYjTzOe-dC0xFNQI-TGg
MT180;Finale;National;2017;Lauréat;1;"Prix du public;Premier prix du jury";F;Féminin;Sabrina;FADLOUN;Sabrina FADLOUN;;;https://www.youtube.com/watch?v=-i_3ALztV4s;https://www.youtube.com/embed/-i_3ALztV4s;Etude d'un procédé de dépôt de cuivre par MOCVD pour la réalisation de vias traversants à fort facteur de forme pour l'intégration 3D.;http://www.theses.fr/s154811;200711929R;Sciences et Ingénierie, Matériaux, Procédés;0383412C;Université Grenoble Alpes;45.192363;5.756681;https://scanr.enseignementsup-recherche.gouv.fr/structure/200711929R;http://mt180.fr/;http://blog.mt180.fr/;https://twitter.com/MT180FR;https://www.facebook.com/MT180France/;https://www.youtube.com/channel/UCvWoYjTzOe-dC0xFNQI-TGg
MT180;Finale;National;2016;Lauréat;1;Premier prix du jury;M;Masculin;Mathieu;BUONAFINE;Mathieu BUONAFINE;;;https://www.youtube.com/watch?v=9H7UQds9XM8;https://www.youtube.com/embed/9H7UQds9XM8;Étude du rôle de la Neutrophil Gelatinase Associated Lipocalin dans les effets cardiovasculaires de l’activation du récepteur minéralocorticoïde;;200716512X;Centre de Recherche des Cordeliers;0755574B;Sorbonne Universités;48.844921;2.344866;https://scanr.enseignementsup-recherche.gouv.fr/structure/200716512X;http://mt180.fr/;http://blog.mt180.fr/;https://twitter.com/MT180FR;https://www.facebook.com/MT180France/;https://www.youtube.com/channel/UCvWoYjTzOe-dC0xFNQI-TGg
MT180;Finale;National;2016;;;;F;Féminin;Marie;PETITJEAN;Marie PETITJEAN;;;https://www.youtube.com/watch?v=2WpJVaGW-OM;https://www.youtube.com/embed/2WpJVaGW-OM;Evolution d'une souche épidémique de Pseudomonas aeruginosa au cours de sa diffusion hospitalière;http://www.theses.fr/s123116;200812285Y;Chrono-Environnement;0251985X;Université Bourgogne - Franche-Comté;47.248103;5.991326;https://scanr.enseignementsup-recherche.gouv.fr/structure/200812285Y;http://mt180.fr/;http://blog.mt180.fr/;https://twitter.com/MT180FR;https://www.facebook.com/MT180France/;https://www.youtube.com/channel/UCvWoYjTzOe-dC0xFNQI-TGg
MT180;Finale;National;2015;;;;F;Féminin;Nathalie;LAGARDE;Nathalie LAGARDE;183683145;http://www.idref.fr/183683145;https://www.youtube.com/watch?v=b1U54yiK9Jg;https://www.youtube.com/embed/b1U54yiK9Jg;Méthodes de criblage virtuel in silico : importance de l’évaluation et application à la recherche de nouveaux inhibiteurs de l’interleukine 6.;http://www.theses.fr/2014CNAM0943;201119474Z;Génomique, Bioinformatique et Applications;0755581J;Hautes Études-Sorbonne-Arts et Métiers;48.846765;2.342056;https://scanr.enseignementsup-recherche.gouv.fr/structure/201119474Z;http://mt180.fr/;http://blog.mt180.fr/;https://twitter.com/MT180FR;https://www.facebook.com/MT180France/;https://www.youtube.com/channel/UCvWoYjTzOe-dC0xFNQI-TGg
MT180;Finale;National;2015;Lauréat;2;Deuxième prix du jury;F;Féminin;Rachida;BRAHIM;Rachida BRAHIM;;;https://www.youtube.com/watch?v=z4c7sCbt88o;https://www.youtube.com/embed/z4c7sCbt88o;Sociologie politique des crimes racistes. Processus de construction et de reconnaissance des groupes ethniquement minorisés dans la France contemporaine, 1971-2003;;201220309C;Laboratoire Méditerranéen de Sociologie;0134009M;Aix-Marseille université;43.2936;5.35871;https://scanr.enseignementsup-recherche.gouv.fr/structure/201220309C;http://mt180.fr/;http://blog.mt180.fr/;https://twitter.com/MT180FR;https://www.facebook.com/MT180France/;https://www.youtube.com/channel/UCvWoYjTzOe-dC0xFNQI-TGg
MT180;Finale;National;2016;;;;F;Féminin;Camille;KERBAOL;Camille KERBAOL;;;https://www.youtube.com/watch?v=9bDh4CEM-T4;https://www.youtube.com/embed/9bDh4CEM-T4;Les lettres d'Adrien Galliot-Marie de Mandat-Grancey. Edition critique de la correspondance familière d'un officier de la Marine Royale française (1781-1791);http://www.theses.fr/s79151;201320505L;Centre d'Étude des Correspondances et Journaux Intimes des 19e et 20e Siècles;0352756F;Université Bretagne Loire;48.107017;-1.675798;https://scanr.enseignementsup-recherche.gouv.fr/structure/201320505L;http://mt180.fr/;http://blog.mt180.fr/;https://twitter.com/MT180FR;https://www.facebook.com/MT180France/;https://www.youtube.com/channel/UCvWoYjTzOe-dC0xFNQI-TGg
MT180;Finale;National;2016;;;;M;Masculin;Guillaume;PLASSAN;Guillaume PLASSAN;;;https://www.youtube.com/watch?v=g8pfhpBnFCE;https://www.youtube.com/embed/g8pfhpBnFCE;Vérification semi-formelle des propriétés de systèmes multi-horloges;http://www.theses.fr/s175519;200311834E;Techniques de l'Informatique et de la Microélectronique pour l'Architecture de Systèmes Intégrés;0383412C;Université Grenoble Alpes;45.192363;5.756681;https://scanr.enseignementsup-recherche.gouv.fr/structure/200311834E;http://mt180.fr/;http://blog.mt180.fr/;https://twitter.com/MT180FR;https://www.facebook.com/MT180France/;https://www.youtube.com/channel/UCvWoYjTzOe-dC0xFNQI-TGg
MT180;Finale;National;2015;;;;F;Féminin;Viviane;GRIVEAU-GENEST;Viviane GRIVEAU-GENEST;;;https://www.youtube.com/watch?v=vmCDQ5goL04;https://www.youtube.com/embed/vmCDQ5goL04;L’esthétique du faire croire : étude littéraire des sermons français et latins de Jean Gerson;http://www.theses.fr/s79914;199213515E;Centre des Sciences de la Littérature Francaise;0755698L;Université Paris Lumières;48.859342;2.357173;https://scanr.enseignementsup-recherche.gouv.fr/structure/199213515E;http://mt180.fr/;http://blog.mt180.fr/;https://twitter.com/MT180FR;https://www.facebook.com/MT180France/;https://www.youtube.com/channel/UCvWoYjTzOe-dC0xFNQI-TGg
MT180;Finale;National;2016;;;;M;Masculin;Tristan;RUBIO;Tristan RUBIO;;;https://www.youtube.com/watch?v=ZBeG0wpgbVs;https://www.youtube.com/embed/ZBeG0wpgbVs;Biodiversité des interactions parmi les Vibrio pathogènes de l'huître creuse Crassostrea gigas.;http://www.theses.fr/s143559;200711909U;Interactions Hôtes-Pathogènes-Environnements;0342255S;Languedoc-Roussillon Universités;43.615855;3.871992;https://scanr.enseignementsup-recherche.gouv.fr/structure/200711909U;http://mt180.fr/;http://blog.mt180.fr/;https://twitter.com/MT180FR;https://www.facebook.com/MT180France/;https://www.youtube.com/channel/UCvWoYjTzOe-dC0xFNQI-TGg
MT180;Finale;National;2015;;;;F;Féminin;Lorène;HÉRAUD;Lorène HÉRAUD;;;https://www.youtube.com/watch?v=-8__lnpAJSs;https://www.youtube.com/embed/-8__lnpAJSs;Nouveaux alliages de titane biocompatibles et superélastiques pour applications medicales;http://www.theses.fr/s121221;200612270R;Institut des Sciences Chimiques de Rennes;0352756F;Université Bretagne Loire;48.107017;-1.675798;https://scanr.enseignementsup-recherche.gouv.fr/structure/200612270R;http://mt180.fr/;http://blog.mt180.fr/;https://twitter.com/MT180FR;https://www.facebook.com/MT180France/;https://www.youtube.com/channel/UCvWoYjTzOe-dC0xFNQI-TGg
MT180;Finale;National;2016;;;;M;Masculin;Aurélien;FRESNEAU;Aurélien FRESNEAU;20264863X;http://www.idref.fr/20264863X;https://www.youtube.com/watch?v=e7WQlPpyJNM;https://www.youtube.com/embed/e7WQlPpyJNM;Simulations expérimentales en laboratoire pou rla préparation à l'analyse des données issues de missions spatiales, ainsi que l'étude de l'impact en exobiologie de l'évolution de la matière organique au sein d'environnements astrophysiques;http://www.theses.fr/s119304;201220272M;Physique des Interactions Ioniques et Moléculaires;0134009M;Aix-Marseille université;43.2936;5.35871;https://scanr.enseignementsup-recherche.gouv.fr/structure/201220272M;http://mt180.fr/;http://blog.mt180.fr/;https://twitter.com/MT180FR;https://www.facebook.com/MT180France/;https://www.youtube.com/channel/UCvWoYjTzOe-dC0xFNQI-TGg
MT180;Finale;National;2017;;;;F;Féminin;Océane;ACQUIER;Océane ACQUIER;;;https://www.youtube.com/watch?v=3WQ9W0XuQ8Y;https://www.youtube.com/embed/3WQ9W0XuQ8Y;Écriture, signes graphiques et paroles dans les peintures murales des lieux de culte du sud de l’arc alpin du XIVe au XVIe siècle (Provence orientale, Ligurie, Piémont);http://www.theses.fr/s139477;201220314H;Centre d'Études de la Préhistoire, de l'Antiquité et du Moyen-Age;0062126D;Université Côte d'Azur;43.716324;7.269781;https://scanr.enseignementsup-recherche.gouv.fr/structure/201220314H;http://mt180.fr/;http://blog.mt180.fr/;https://twitter.com/MT180FR;https://www.facebook.com/MT180France/;https://www.youtube.com/channel/UCvWoYjTzOe-dC0xFNQI-TGg
MT180;Finale;National;2016;;;;M;Masculin;Michaël;GONZVA;Michaël GONZVA;;;https://www.youtube.com/watch?v=YPWRq7qt178;https://www.youtube.com/embed/YPWRq7qt178;Résilience des systèmes de transports guidés en milieu urbain face à différents risques naturels, technologiques et d'exploitation : approche quantitative et stratégies de protection;http://www.theses.fr/s99839;200114758S;Laboratoire d'Urbanisme;0772710C;Université Paris-Est;48.840572;2.586957;https://scanr.enseignementsup-recherche.gouv.fr/structure/200114758S;http://mt180.fr/;http://blog.mt180.fr/;https://twitter.com/MT180FR;https://www.facebook.com/MT180France/;https://www.youtube.com/channel/UCvWoYjTzOe-dC0xFNQI-TGg
MT180;Finale;National;2017;;;;M;Masculin;Adama;SIDIKI DIOURTE;Adama SIDIKI DIOURTE;;;https://www.youtube.com/watch?v=fmEZMQpjd8c;https://www.youtube.com/embed/fmEZMQpjd8c;Le marché des sondages en France. Rapports entre commande et mise en oeuvre d'une méthode d'analyse des faits sociaux.;http://www.theses.fr/s114777;200918478A;Centre de Recherches Sociologiques et Politiques de Paris - Cresppa;0755698L;Université Paris Lumières;48.859342;2.357173;https://scanr.enseignementsup-recherche.gouv.fr/structure/200918478A;http://mt180.fr/;http://blog.mt180.fr/;https://twitter.com/MT180FR;https://www.facebook.com/MT180France/;https://www.youtube.com/channel/UCvWoYjTzOe-dC0xFNQI-TGg
MT180;Finale;National;2017;;;;F;Féminin;Marie;HECHELSKI;Marie HECHELSKI;;;https://www.youtube.com/watch?v=hzNeKb3C3H8;https://www.youtube.com/embed/hzNeKb3C3H8;Intérêt d’un amendement phosphaté sur des sols fortement contaminés par les éléments métalliques en vue d’élaborer, à partir de biomasses végétales, des catalyseurs hétérogènes supportés utilisables en synthèse organique;;201019043K;Laboratoire Génie Civil et Géo-Environnement;0596870X;Université Lille Nord de France;50.639261;3.136031;https://scanr.enseignementsup-recherche.gouv.fr/structure/201019043K;http://mt180.fr/;http://blog.mt180.fr/;https://twitter.com/MT180FR;https://www.facebook.com/MT180France/;https://www.youtube.com/channel/UCvWoYjTzOe-dC0xFNQI-TGg
MT180;Finale;National;2017;;;;M;Masculin;Paul;LAFAYE;Paul LAFAYE;;;https://www.youtube.com/watch?v=MqRNMNZ_erk;https://www.youtube.com/embed/MqRNMNZ_erk;De?veloppement d'outils thermodynamiques pour la pre?diction de l'e?tat me?tallurgique d'alliages a? base zirconium;http://www.theses.fr/s122746;200712561C;Institut de Chimie et des Matériaux Paris-Est;0772710C;Université Paris-Est;48.840572;2.586957;https://scanr.enseignementsup-recherche.gouv.fr/structure/200712561C;http://mt180.fr/;http://blog.mt180.fr/;https://twitter.com/MT180FR;https://www.facebook.com/MT180France/;https://www.youtube.com/channel/UCvWoYjTzOe-dC0xFNQI-TGg
MT180;Finale;National;2017;;;;F;Féminin;Camille;FRITZELL;Camille FRITZELL;;;https://www.youtube.com/watch?v=JOv3AXl8_wY;https://www.youtube.com/embed/JOv3AXl8_wY;Séro-épidémiologie des arbovirus prioritaires en Guyane;http://www.theses.fr/s161890;"775684897;130020597";"Institut Pasteur;Université de Guyane";9730429D;Université de Guyane;4.93278;-52.301511;;http://mt180.fr/;http://blog.mt180.fr/;https://twitter.com/MT180FR;https://www.facebook.com/MT180France/;https://www.youtube.com/channel/UCvWoYjTzOe-dC0xFNQI-TGg
MT180;Finale;National;2015;;;;M;Masculin;Paul-Etienne;KAUFFMANN;Paul-Etienne KAUFFMANN;197751067;http://www.idref.fr/197751067;https://www.youtube.com/watch?v=xF4PBYPyF3I;https://www.youtube.com/embed/xF4PBYPyF3I;L'évaluation de la qualité de la loi par le parlement.;http://www.theses.fr/s79318;201220360H;Centre Universitaire Rouennais d'Études Juridiques;0142382N;Normandie Université;49.188964;-0.363963;https://scanr.enseignementsup-recherche.gouv.fr/structure/201220360H;http://mt180.fr/;http://blog.mt180.fr/;https://twitter.com/MT180FR;https://www.facebook.com/MT180France/;https://www.youtube.com/channel/UCvWoYjTzOe-dC0xFNQI-TGg
MT180;Finale;National;2015;;;;F;Féminin;Iuliia;MYRGORODSKA;Iuliia MYRGORODSKA;197698085;http://www.idref.fr/197698085;https://www.youtube.com/watch?v=KvcSZc17zTw;https://www.youtube.com/embed/KvcSZc17zTw;Photolyse asymétrique des molécules chirales d'importance prébiotique au synchrotron SOLEIL;;201220250N;Institut de Chimie de Nice;0062126D;Université Côte d'Azur;43.716324;7.269781;https://scanr.enseignementsup-recherche.gouv.fr/structure/201220250N;http://mt180.fr/;http://blog.mt180.fr/;https://twitter.com/MT180FR;https://www.facebook.com/MT180France/;https://www.youtube.com/channel/UCvWoYjTzOe-dC0xFNQI-TGg
MT180;Finale;National;2015;;;;F;Féminin;Aude;CHATELARD;Aude CHATELARD;;;https://www.youtube.com/watch?v=rBLTs_NDEqY;https://www.youtube.com/embed/rBLTs_NDEqY;Citoyennes par la religion - la citoyenneté féminine dans l'Italie romaine du IVème siècle avant J-C au Principet d'Auguste, vue à travers les pratiques religieuses;http://www.theses.fr/s78852;200112444B;Archéologie et Histoire Ancienne : Méditerranée et Europe;0673021V;Université de Strasbourg;48579;7.7663;https://scanr.enseignementsup-recherche.gouv.fr/structure/200112444B;http://mt180.fr/;http://blog.mt180.fr/;https://twitter.com/MT180FR;https://www.facebook.com/MT180France/;https://www.youtube.com/channel/UCvWoYjTzOe-dC0xFNQI-TGg
MT180;Finale;National;2016;;;;F;Féminin;Julie;RIVIÈRE;Julie RIVIÈRE;;;https://www.youtube.com/watch?v=hCxb3e3nmG0;https://www.youtube.com/embed/hCxb3e3nmG0;Processus psychologiques impliqués de l’insatisfaction corporelle : perfectionnisme, rumination et déficit d’inhibition;http://www.theses.fr/s151999;200615318D;Psychologie : Interactions, Temps, Émotions, Cognition;0596870X;Université Lille Nord de France;50.639261;3.136031;https://scanr.enseignementsup-recherche.gouv.fr/structure/200615318D;http://mt180.fr/;http://blog.mt180.fr/;https://twitter.com/MT180FR;https://www.facebook.com/MT180France/;https://www.youtube.com/channel/UCvWoYjTzOe-dC0xFNQI-TGg
MT180;Finale;National;2015;;;;F;Féminin;Laura;LAENCINA;Laura LAENCINA;;;https://www.youtube.com/watch?v=yGmWa6QzoJQ;https://www.youtube.com/embed/yGmWa6QzoJQ;Avantages génomiques conférés à Mycobacterium abscessus pour une existence intracellulaire;http://www.theses.fr/s156406;201521272L;Infection et Inflammation Chronique;0912330N;Université Paris-Saclay;48.707834;2.152419;https://scanr.enseignementsup-recherche.gouv.fr/structure/201521272L;http://mt180.fr/;http://blog.mt180.fr/;https://twitter.com/MT180FR;https://www.facebook.com/MT180France/;https://www.youtube.com/channel/UCvWoYjTzOe-dC0xFNQI-TGg
MT180;Finale;National;2015;;;;F;Féminin;Sarah;HOUVER;Sarah HOUVER;;;https://www.youtube.com/watch?v=aZJvIXX2HUM;https://www.youtube.com/embed/aZJvIXX2HUM;;;199812879M;Laboratoire Pierre Aigrain;0755574B;Sorbonne Universités;48.844921;2.344866;https://scanr.enseignementsup-recherche.gouv.fr/structure/199812879M;http://mt180.fr/;http://blog.mt180.fr/;https://twitter.com/MT180FR;https://www.facebook.com/MT180France/;https://www.youtube.com/channel/UCvWoYjTzOe-dC0xFNQI-TGg
MT180;Finale;National;2016;;;;F;Féminin;Pauline;MAISONNASSE;Pauline MAISONNASSE;167097105;http://www.idref.fr/167097105;https://www.youtube.com/watch?v=mUGE2HldnWE;https://www.youtube.com/embed/mUGE2HldnWE;Étude des interactions entre virus influenza et cellules dendritiques pulmonaires porcines et implications dans l'induction de l'inflammation.;http://www.theses.fr/s142461;198817831N;Unité de Recherche Virologie et Immunologie Moléculaires;0912330N;Université Paris-Saclay;48.707834;2.152419;https://scanr.enseignementsup-recherche.gouv.fr/structure/198817831N;http://mt180.fr/;http://blog.mt180.fr/;https://twitter.com/MT180FR;https://www.facebook.com/MT180France/;https://www.youtube.com/channel/UCvWoYjTzOe-dC0xFNQI-TGg
MT180;Finale;National;2017;Lauréat;3;Troisième prix du jury;M;Masculin;Olivier;CHABROL;Olivier CHABROL;;;https://www.youtube.com/watch?v=W-2dfIo8yUU;https://www.youtube.com/embed/W-2dfIo8yUU;Mise en place de méthode informatique pour la détection de convergence génomique;http://www.theses.fr/s109767;201420768T;Institut de Mathématiques de Marseille;0134009M;Aix-Marseille université;43.2936;5.35871;https://scanr.enseignementsup-recherche.gouv.fr/structure/201420768T;http://mt180.fr/;http://blog.mt180.fr/;https://twitter.com/MT180FR;https://www.facebook.com/MT180France/;https://www.youtube.com/channel/UCvWoYjTzOe-dC0xFNQI-TGg
MT180;Finale;National;2015;;;;F;Féminin;Camille;ROUILLON;Camille ROUILLON;19230688X;http://www.idref.fr/19230688X;https://www.youtube.com/watch?v=wtx5hmWwgyM;https://www.youtube.com/embed/wtx5hmWwgyM;Etude de l'impact des vieillissements photochimique, thermique et climatique sur les propriétés d'aspect de polypropylènes teintés masse colorés;http://www.theses.fr/2015CLF22636;201220211W;Institut de Chimie de Clermont-Ferrand;;Université Clermont Auvergne et associés;45.7703;3.08803;https://scanr.enseignementsup-recherche.gouv.fr/structure/201220211W;http://mt180.fr/;http://blog.mt180.fr/;https://twitter.com/MT180FR;https://www.facebook.com/MT180France/;https://www.youtube.com/channel/UCvWoYjTzOe-dC0xFNQI-TGg
MT180;Finale;National;2016;;;;F;Féminin;Samantha;JAMES;Samantha JAMES;;;https://www.youtube.com/watch?v=PD5cpvbg_Yk;https://www.youtube.com/embed/PD5cpvbg_Yk;Identification de gènes cellulaires cibles du transactivateur viral Rta de l'herpès virus humain 8 (HHV8) et leur implication dans la pathogenèse virale;http://www.theses.fr/s108020;"775684897;130020597";"Institut Pasteur;Université de Guyane";9730429D;Université de Guyane;4.93278;-52.301511;"https://scanr.enseignementsup-recherche.gouv.fr/structure/775684897;https://scanr.enseignementsup-recherche.gouv.fr/structure/130020597";http://mt180.fr/;http://blog.mt180.fr/;https://twitter.com/MT180FR;https://www.facebook.com/MT180France/;https://www.youtube.com/channel/UCvWoYjTzOe-dC0xFNQI-TGg
MT180;Finale;National;2016;;;;F;Féminin;Vittoria;NOVELLI;Vittoria NOVELLI;;;https://www.youtube.com/watch?v=5aUCugcjxBc;https://www.youtube.com/embed/5aUCugcjxBc;Apport de la catalyse / photocatalyse dans les réactions endergoniques des systèmes de stockage électrochimique de l'énergie;http://www.theses.fr/s115617;201220281X;Laboratoire de Réactivité et Chimie des Solides;;Picardie Universités;49.8743;2.26417;https://scanr.enseignementsup-recherche.gouv.fr/structure/201220281X;http://mt180.fr/;http://blog.mt180.fr/;https://twitter.com/MT180FR;https://www.facebook.com/MT180France/;https://www.youtube.com/channel/UCvWoYjTzOe-dC0xFNQI-TGg
MT180;Finale;National;2017;;;;M;Masculin;Pierre;LOISON;Pierre LOISON;;;https://www.youtube.com/watch?v=QmhJ_bBZiuE;https://www.youtube.com/embed/QmhJ_bBZiuE;Développement d’un revêtement fonctionnel anticorrosion pour applications aérospatiales;;201220413R;Laboratoire des Sciences de l'Ingénieur pour l'Environnement;0861420B;Université confédérale Léonard de Vinci;46.586013;0.345772;https://scanr.enseignementsup-recherche.gouv.fr/structure/201220413R;http://mt180.fr/;http://blog.mt180.fr/;https://twitter.com/MT180FR;https://www.facebook.com/MT180France/;https://www.youtube.com/channel/UCvWoYjTzOe-dC0xFNQI-TGg
MT180;Finale;National;2017;;;;F;Féminin;Lauréanne;PARIZOT;Lauréanne PARIZOT;;;https://www.youtube.com/watch?v=xZz_ycXNSzY;https://www.youtube.com/embed/xZz_ycXNSzY;Etude de la cavitation par impact mécanique et par ultrasons pour la dégradation de composés organiques;;200712566H;Institut Jean le Rond d'Alembert;0755574B;Sorbonne Universités;48.844921;2.344866;https://scanr.enseignementsup-recherche.gouv.fr/structure/200712566H;http://mt180.fr/;http://blog.mt180.fr/;https://twitter.com/MT180FR;https://www.facebook.com/MT180France/;https://www.youtube.com/channel/UCvWoYjTzOe-dC0xFNQI-TGg